WA,WA_Name,plan_code,Issue Date,cntrct_code,app_recvd_date,annual_premium,issue_state,policy_nbr,paid_to_date,first_name,last_name,insured_address,insured_city,zip,draft_date,coverage_amount,Mode,tobacco,insured_ssn_last4,agent_first_name,agent_last_name,agent_email,insured_email,insured_phone_no,Contract Reason,Contract Date,Term Date,last_premium_applied,billing_method,gender
QN6MODGI,CHLOE JONES,WL10R TX,20240518,C,20240329,2148.54,WA,GTL7892986Y,20241005,Kevin,Lee,870 MAPLE ST,Seattle,50393,,50000,Quarterly,N,6861,Chloe,Jones,chloe.jones1@insurancecorp.com,KEVINLEE84@email.com,8006578868,N/A,20240518,,20240917,CHECK,M
V9IFDJWF,RYAN YOUNG,SP500 FL,20241207,A,20240910,1770.54,CO,GTL2322214S,20251202,Chloe,Lee,9372 PINE ST,Aurora,20742,,100000,Semi-Annual,N,3136,Ryan,Young,ryan.young2@insurancecorp.com,CHLOELEE99@email.com,8000486501,NSF,20241207,20241207,20251010,MAIL,M
QOPJ77XE,JOHN WILLIAMS,WL12S PA,20250523,C,20250312,4600.01,TX,GTL9308317T,20250609,Chloe,Thompson,5419 MAPLE ST,Dallas,70738,,100000,Monthly,N,6529,John,Williams,john.williams4@insurancecorp.com,CHLOETHOMPSON73@email.com,8000916765,Cancelled,20250523,20250601,20250521,MAIL,F
ODS7S1XN,MATTHEW YOUNG,WL12G PA,20250424,C,20250304,1653.84,MI,GTL2920223M,20250822,Sarah,Clark,5761 ELM ST,Sterling Heights,18519,,100000,Quarterly,N,5181,Matthew,Young,matthew.young9@insurancecorp.com,SARAHCLARK16@email.com,8000908700,Cancelled,20250424,20250528,20250801,PAC,F
3CJS35E6,MEGAN WHITE,WL10R TX,20241024,R,20241011,1101.14,WA,GTL4990422P,20250601,Grace,Clark,5657 OAK ST,Seattle,41954,,10000,Annual,N,3373,Megan,White,megan.white9@insurancecorp.com,GRACECLARK72@email.com,8000892642,Cancelled,20241024,20241109,20250410,PAC,F
WAR1UN8B,JANE WALKER,WL12S PA,20251120,C,20250914,4351.77,TX,GTL8919967V,20260307,William,Martin,8512 ELM ST,Austin,20549,,10000,Semi-Annual,N,1192,Jane,Walker,jane.walker2@insurancecorp.com,WILLIAMMARTIN63@email.com,8002413717,NSF,20251120,20251120,20260122,DIR,M
CQJEYD3G,SARAH YOUNG,WL12G PA,20251102,R,20251029,3672.3,GA,GTL6942282D,20251229,Melissa,Rodriguez,6185 MAIN ST,Columbus,70020,,5000,Monthly,Y,9634,Sarah,Young,sarah.young7@insurancecorp.com,MELISSARODRIGUEZ71@email.com,8005728943,Cancelled,20251102,20251103,20251122,DIR,M
113YB87Y,MELISSA LEWIS,WL12G PA,20251116,C,20250926,3598.32,GA,GTL5475651D,20260719,Nicole,Scott,4695 ELM ST,Augusta,59713,,50000,Quarterly,N,2918,Melissa,Lewis,melissa.lewis9@insurancecorp.com,NICOLESCOTT38@email.com,8003675291,NSF,20251116,20251116,20260529,DIR,F
7KOGFMI2,DANIEL WHITE,WL12G PA,20221225,R,20221214,512.47,GA,GTL0466935H,20230527,Lauren,Allen,929 PINE ST,Columbus,43200,20230528,100000,Annual,N,2022,Daniel,White,daniel.white4@insurancecorp.com,LAURENALLEN16@email.com,8002535569,RERAT,20221225,,20230427,DIR,M
OH2UYK4C,JESSICA LEE,WL12S PA,20240913,C,20240906,1719.59,CO,GTL8233786E,20241206,James,Martin,4240 OAK ST,Denver,25518,,5000,Annual,Y,6473,Jessica,Lee,jessica.lee4@insurancecorp.com,JAMESMARTIN56@email.com,8008731334,Cancelled,20240913,20240925,20241008,MAIL,F
